id,tree_dbh,health,tree_dbh,spc_common,problems,nta_name
4762,5,Good,5,European beech,"Stones,RootOther,BranchOther",Washington Heights South
4763,19,Good,19,Sophora,"Stones,RootOther,TrunkOther",Washington Heights North
4764,3,Good,3,Sophora,RootOther,Washington Heights North
4767,23,Good,23,honeylocust,"Stones,TrunkOther",Washington Heights North
4769,3,Good,3,Sophora,BranchOther,Washington Heights North
4771,11,Good,11,honeylocust,Stones,Washington Heights South
4772,10,Good,10,honeylocust,Stones,Washington Heights South
4773,9,Good,9,honeylocust,"Stones,BranchOther",Washington Heights South
4775,13,Good,13,pin oak,"TrunkOther,BranchOther",Washington Heights North
4778,2,Fair,2,swamp white oak,Stones,Washington Heights North
4779,9,Good,9,honeylocust,BranchOther,Washington Heights North
5644,17,Good,17,pin oak,TrunkOther,Washington Heights North
5681,4,Good,4,black locust,BranchOther,Washington Heights North
5682,9,Good,9,willow oak,BranchLights,Washington Heights North
5683,7,Fair,7,Callery pear,BranchLights,Washington Heights North
5684,9,Good,9,honeylocust,"Stones,WiresRope,BranchOther",Washington Heights North
5689,4,Good,4,Sophora,TrunkOther,Washington Heights North
5690,5,Good,5,Sophora,"RootOther,TrunkOther,BranchOther",Washington Heights North
5691,5,Good,5,Sophora,TrunkOther,Washington Heights North
5692,9,Good,9,Sophora,"Stones,WiresRope,BranchLights",Washington Heights North
5693,3,Poor,3,Sophora,Stones,Washington Heights North
5718,9,Good,9,honeylocust,"Stones,TrunkOther,BranchLights",Washington Heights North
5720,11,Good,11,honeylocust,"Stones,BranchLights",Washington Heights North
5722,7,Good,7,Sophora,"Stones,WiresRope",Washington Heights North
5981,6,Fair,6,Sophora,Stones,Washington Heights North
5982,14,Good,14,honeylocust,"MetalGrates,WiresRope,BranchOther",Washington Heights North
5983,14,Fair,14,honeylocust,"MetalGrates,TrunkOther,BranchOther",Washington Heights North
5984,9,Good,9,swamp white oak,"WiresRope,BranchOther",Washington Heights North
5985,9,Good,9,honeylocust,RootOther,Washington Heights North
5986,11,Good,11,honeylocust,"RootOther,BranchOther",Washington Heights North
5987,3,Good,3,honeylocust,RootOther,Washington Heights North
5988,5,Good,5,honeylocust,RootOther,Washington Heights North
5989,16,Good,16,green ash,"Stones,BranchOther",Washington Heights North
5990,18,Good,18,green ash,"Stones,TrunkOther",Washington Heights North
6596,2,Good,2,pin oak,BranchOther,Central Harlem South
6601,11,Fair,11,honeylocust,BranchOther,Central Harlem South
6602,7,Good,7,honeylocust,BranchOther,Central Harlem South
6604,11,Good,11,honeylocust,Stones,Central Harlem South
6605,13,Good,13,honeylocust,RootOther,Central Harlem South
6606,11,Fair,11,honeylocust,BranchOther,Central Harlem South
6607,11,Fair,11,honeylocust,"Stones,RootOther,TrunkOther,BranchOther",Central Harlem South
6647,9,Good,9,honeylocust,TrunkOther,Central Harlem South
6684,18,Good,18,Japanese zelkova,RootOther,Central Harlem South
6686,8,Fair,8,Japanese zelkova,WiresRope,Central Harlem South
6690,17,Good,17,Japanese zelkova,WiresRope,Central Harlem South
6691,12,Good,12,Japanese zelkova,"WiresRope,TrunkOther,BranchLights",Central Harlem South
6754,2,Poor,2,magnolia,"TrunkOther,BranchOther",Central Harlem South
6797,10,Good,10,Japanese zelkova,Stones,Central Harlem South
6798,8,Fair,8,Japanese zelkova,"Stones,BranchOther",Central Harlem South
6799,11,Fair,11,Japanese zelkova,Stones,Central Harlem South
6800,14,Good,14,Japanese tree lilac,Stones,Central Harlem South
6801,11,Good,11,Japanese tree lilac,"Stones,BranchLights",Central Harlem South
6802,7,Fair,7,Japanese tree lilac,"Stones,BranchOther",Central Harlem South
6866,17,Good,17,ginkgo,TrunkOther,Central Harlem South
6867,7,Fair,7,ginkgo,BranchOther,Central Harlem South
6869,7,Fair,7,ginkgo,TrunkOther,Central Harlem South
6870,18,Good,18,ginkgo,"RootOther,TrunkOther,BranchLights",Central Harlem South
6872,15,Fair,15,ginkgo,Stones,Central Harlem South
6873,9,Good,9,ginkgo,"Stones,BranchOther",Central Harlem South
6875,9,Good,9,ginkgo,WiresRope,Central Harlem South
6878,18,Good,18,ginkgo,"Stones,WiresRope",Central Harlem South
6879,9,Good,9,ginkgo,WiresRope,Central Harlem South
6880,11,Good,11,ginkgo,WiresRope,Central Harlem South
6881,9,Good,9,ginkgo,WiresRope,Central Harlem South
6882,17,Good,17,ginkgo,"RootOther,TrunkOther",Central Harlem South
6883,8,Fair,8,ginkgo,TrunkOther,Central Harlem South
6884,17,Fair,17,ginkgo,Stones,Central Harlem South
6886,19,Fair,19,London planetree,Stones,Central Harlem South
6888,27,Fair,27,London planetree,Stones,Central Harlem South
6889,7,Good,7,ginkgo,Stones,Central Harlem South
6952,7,Fair,7,Callery pear,Stones,Central Harlem South
6953,4,Fair,4,Japanese zelkova,RootOther,Central Harlem South
7013,7,Fair,7,littleleaf linden,Stones,Central Harlem South
7015,5,Poor,5,littleleaf linden,Stones,Central Harlem South
7016,6,Fair,6,silver linden,RootOther,Central Harlem South
7017,11,Fair,11,Japanese zelkova,Stones,Central Harlem South
7023,11,Fair,11,honeylocust,Stones,Central Harlem South
7024,4,Fair,4,Japanese zelkova,WiresRope,Central Harlem South
7025,9,Fair,9,Japanese zelkova,BranchLights,Central Harlem South
7026,4,Fair,4,Japanese zelkova,TrunkOther,Central Harlem South
7027,5,Fair,5,Japanese zelkova,WiresRope,Central Harlem South
7028,5,Fair,5,Japanese zelkova,WiresRope,Central Harlem South
7029,3,Poor,3,Japanese zelkova,WiresRope,Central Harlem South
7030,4,Fair,4,Japanese zelkova,WiresRope,Central Harlem South
7031,10,Good,10,Japanese zelkova,Stones,Central Harlem South
7033,10,Fair,10,Chinese elm,MetalGrates,Central Harlem South
7034,9,Good,9,Chinese elm,MetalGrates,Central Harlem South
7058,11,Fair,11,silver linden,TrunkOther,Central Harlem South
7059,12,Good,12,silver linden,BranchOther,Central Harlem South
7061,11,Good,11,silver linden,Stones,Central Harlem South
7115,5,Fair,5,honeylocust,"Stones,WiresRope",Central Harlem South
7117,7,Fair,7,honeylocust,"Stones,RootOther",Central Harlem South
7118,10,Fair,10,honeylocust,Stones,Central Harlem South
7122,9,Fair,9,Japanese zelkova,Stones,Central Harlem South
7124,12,Good,12,Japanese zelkova,Stones,Central Harlem South
7125,2,Fair,2,eastern redbud,BranchOther,Central Harlem South
7127,12,Good,12,Japanese zelkova,Stones,Central Harlem South
7129,10,Fair,10,honeylocust,Stones,Central Harlem South
